channel,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,radial_increment_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_resolution,reference_semantics,residual_cosine,residual_relative_difference,resolution,shell_increment_relative_l2,source_snapshot,target_snapshot,temporal_increment_loss_inner,temporal_increment_loss_middle,temporal_increment_loss_outer
vel2,0.00031150962734185356,0.060686801779044695,0.9393131982209553,2.0557785366936603,0.06037529215170284,0.9396247078482971,128,HIGHER_RES_SAMPLING_REFERENCE,0.9979058481932546,0.08311672902657738,64,2.0520307741806056,0,1,0.07429348900654378,0.42019898022267277,0.2586772620287612
vel2,0.00031188418341510094,0.04016705644166495,0.959832943558335,1.9141387672938281,0.04047894062508005,0.9595210593749199,128,HIGHER_RES_SAMPLING_REFERENCE,0.9978159110240727,0.0664119015615279,96,1.9193085910128047,0,1,0.05639136658020212,0.2687589979762439,0.27676055714657427
vel2,0.0,0.029392918139201824,0.9706070818607981,0.0,0.029392918139201824,0.9706070818607981,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,0,1,0.0,0.0,0.0
vel3,0.0004349709684307451,0.09882747498232738,0.9011725250176726,0.05283114323225727,0.09839250401389664,0.9016074959861033,128,HIGHER_RES_SAMPLING_REFERENCE,0.9998057156818746,0.05624062485441105,32,0.052939442077904846,0,1,0.05549334670398726,0.17165728398937857,0.9184086346870614
vel3,0.001215800084361722,0.04680482458581226,0.9531951754141877,0.056667122430491594,0.048020624670173984,0.951979375329826,128,HIGHER_RES_SAMPLING_REFERENCE,0.9996663350413999,0.06187328994481691,64,0.055479446767784275,0,1,0.06133268613213284,0.15395005981734805,0.7209346772131023
vel3,0.0007248208636594922,0.032732933671127964,0.967267066328872,0.03426942024904683,0.03200811280746847,0.9679918871925315,128,HIGHER_RES_SAMPLING_REFERENCE,0.9993883374156843,0.037397330531782264,96,0.0139738638337265,0,1,0.03687915852826417,0.13189990443222985,0.5545949223747828
vel3,0.0,0.023457486804590397,0.9765425131954096,0.0,0.023457486804590397,0.9765425131954096,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,0,1,0.0,0.0,0.0
Bcc1,0.0029935171085589962,0.16322128206963424,0.8367787179303657,1.927346467449961,0.16621479917819323,0.8337852008218067,128,HIGHER_RES_SAMPLING_REFERENCE,0.9931852696408658,0.12531585653624774,32,1.9451688333755854,25,26,0.07821114726316007,0.30588771771086193,0.4187403907209497
Bcc1,0.0025065604516916334,0.07073255571557988,0.9292674442844201,1.8972560397501954,0.07323911616727151,0.9267608838327285,128,HIGHER_RES_SAMPLING_REFERENCE,0.993159084803312,0.1256704590461323,64,1.8431727618784641,25,26,0.08997455632865538,0.28251155778079684,0.255783274338773
Bcc1,0.000997929071384858,0.04643257093682205,0.9535674290631779,1.9412835510538402,0.04543464186543719,0.9545653581345628,128,HIGHER_RES_SAMPLING_REFERENCE,0.9974177192386479,0.07324798852534413,96,1.9494026983257582,25,26,0.04827008920958561,0.16802785546728888,0.2504868981023257
