axis,channel,demeaned,ground_truth_available,high_k_axis_anisotropy,high_k_energy,low_k_energy,mid_k_energy,model,oracle_available,parseval_relative_error,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_low_k_energy,retention_vs_canonical_initial_low_k_energy_undefined,retention_vs_canonical_initial_mid_k_energy,retention_vs_canonical_initial_mid_k_energy_undefined,retention_vs_canonical_initial_total_nonzero_mode_energy,retention_vs_canonical_initial_total_nonzero_mode_energy_undefined,spectral_centroid,step,total_nonzero_mode_energy
theta,Bcc2,False,False,9519750.653900297,0.014655603487492678,240.53330340984132,0.09575370745677635,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.01838415018041815,25,74.56630554572425
theta,Bcc2,True,False,9519750.653900294,0.014655603487492678,191.4154137620731,0.09575370745677635,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.018384150180418148,25,74.56630554572425
r,Bcc2,False,False,9519750.653900297,2.298850841031971,233.89901515930742,4.445846720446203,persistence,False,1.1810701018971225e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.03591549584925971,25,170.19394382039766
r,Bcc2,True,False,9519750.653900294,2.298850841031971,184.78112551153922,4.4458467204462035,persistence,False,2.9679245309462534e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.03591549584925971,25,170.19394382039766
combined,Bcc2,False,False,9519750.653900297,2.311003964826333,233.83797275388454,4.494736002074771,persistence,False,2.362140203794245e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.033837345989799365,25,191.52582307301745
combined,Bcc2,True,False,9519750.653900294,2.3110039648263334,184.72008310611633,4.494736002074772,persistence,False,2.9679245309462534e-16,1.0,False,1.0,False,1.0,False,1.0,False,0.033837345989799365,25,191.52582307301745
phi,Bcc3,False,False,76153827.13888958,1.372683083833652e-09,3.426882875669524,3.142051080343531e-08,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.0513820966901488,25,9.183085972467117e-07
phi,Bcc3,True,False,76153827.13888957,1.3726830838336522e-09,3.426756231555158,3.142051080343531e-08,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.051382096690148794,25,9.183085972467118e-07
theta,Bcc3,False,False,76153827.13888958,0.1045350702827458,3.1514575165203302,0.1708903216596415,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.054465399847128095,25,3.426169780414348
theta,Bcc3,True,False,76153827.13888957,0.1045350702827458,3.1513308724059645,0.1708903216596415,persistence,False,0.0,1.0,False,1.0,False,1.0,False,1.0,False,0.054465399847128095,25,3.426169780414348
