channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
rho,Stage AG,4.189331791969243,0.7947719157293114,-4.271112012211656,185,186
press,Stage AG,558.9163099610493,0.16972750887683932,-3292.0213473328004,185,186
vel1,Stage AG,0.07465505166675195,0.0683314572291024,-0.09254294718825817,185,186
vel2,Stage AG,0.009733164085357899,0.0035634267401994687,-1.7314056931651889,185,186
vel3,Stage AG,0.02219742136500948,0.02519771482523366,0.1190700617509809,185,186
Bcc1,Stage AD,1.3635220000431414,0.12194407664749143,-10.181535319544288,186,187
Bcc2,Stage AD,0.8781811783308843,0.19062324882493628,-3.6068944042464848,186,187
Bcc3,Stage AD,0.5639293592171497,0.9732432883284731,0.4205669168438986,186,187
rho,Stage AD,2.427988722113003,0.6695677243181992,-2.6262033457263065,186,187
press,Stage AD,27.220147984353726,0.27214277604596965,-99.02157095566545,186,187
vel1,Stage AD,0.11041739234276167,0.06076300942295915,-0.8171811006622187,186,187
vel2,Stage AD,0.010455979906987774,0.008859697420485653,-0.18017347667101458,186,187
vel3,Stage AD,0.06689113478008048,0.055284476026608895,-0.20994426623280638,186,187
Bcc1,Stage AG,2.236311716183985,0.12194407664749143,-17.33883020532912,186,187
Bcc2,Stage AG,0.198258631534863,0.19062324882493628,-0.04005483463844883,186,187
Bcc3,Stage AG,1.1363088760311837,0.9732432883284731,-0.16754863830889888,186,187
rho,Stage AG,3.84275294295074,0.6695677243181992,-4.7391549852013855,186,187
press,Stage AG,56807.166895671326,0.27214277604596965,-208739.30801418592,186,187
vel1,Stage AG,0.06395051876014614,0.06076300942295915,-0.05245805577204665,186,187
vel2,Stage AG,0.005113421513190354,0.008859697420485653,0.42284467849128227,186,187
vel3,Stage AG,0.07229446341696459,0.055284476026608895,-0.30768108179534237,186,187
Bcc1,Stage AD,1.780197698403867,0.16736635237737835,-9.636532810309863,187,188
Bcc2,Stage AD,0.2872927866582098,0.23561563113661388,-0.21932821380442546,187,188
Bcc3,Stage AD,0.6766751657407997,0.7628828514626406,0.11300252136557909,187,188
rho,Stage AD,4.9605668832565035,0.35142128264424877,-13.115726987082313,187,188
press,Stage AD,467.7584681564402,0.2896565861619327,-1613.8725439128787,187,188
vel1,Stage AD,0.12892663763258125,0.06283654732705109,-1.0517778763614283,187,188
vel2,Stage AD,0.006791433414131603,0.006743437328128891,-0.007117451185095991,187,188
vel3,Stage AD,0.08458019266311416,0.07819590015799577,-0.08164484956652274,187,188
Bcc1,Stage AG,2.4087646702733134,0.16736635237737835,-13.39216805563176,187,188
Bcc2,Stage AG,0.24794266476885937,0.23561563113661388,-0.052318403379180145,187,188
Bcc3,Stage AG,0.85027532653701,0.7628828514626406,-0.11455556368427455,187,188
rho,Stage AG,4.229984058812449,0.35142128264424877,-11.036789653102916,187,188
press,Stage AG,4.117653812785391,0.2896565861619327,-13.215640208102895,187,188
vel1,Stage AG,0.0682047847183344,0.06283654732705109,-0.08543176892490223,187,188
vel2,Stage AG,0.010359988467765218,0.006743437328128891,-0.5363067770424161,187,188
vel3,Stage AG,0.0947143628970967,0.07819590015799577,-0.21124461392125649,187,188
Bcc1,Stage AD,1.9760518976463606,0.115680273866043,-16.08201261638277,188,189
Bcc2,Stage AD,0.43315455994089935,0.07625600691432295,-4.6802680532114405,188,189
Bcc3,Stage AD,1.1045824755076772,1.1768830113147466,0.061433919184795904,188,189
rho,Stage AD,1.743763875847253,0.32514531676604885,-4.36302934697331,188,189
press,Stage AD,38.86298832279891,0.39725694699955855,-96.8283416220336,188,189
vel1,Stage AD,0.1661830541801007,0.08396645105844483,-0.9791601536717209,188,189
vel2,Stage AD,0.0032583388797971023,0.004628536017999421,0.2960325106845675,188,189
vel3,Stage AD,0.04820496554574818,0.03943614645973323,-0.2223548666188382,188,189
Bcc1,Stage AG,2.609475082558885,0.115680273866043,-21.55764959184519,188,189
Bcc2,Stage AG,0.30182081944955874,0.07625600691432295,-2.9579940212273113,188,189
Bcc3,Stage AG,1.1911217927804199,1.1768830113147466,-0.012098722922142091,188,189
rho,Stage AG,4.4588978201942115,0.32514531676604885,-12.713553879671942,188,189
press,Stage AG,5.0890047755152485,0.39725694699955855,-11.810360684569485,188,189
vel1,Stage AG,0.1027499049127156,0.08396645105844483,-0.22370189066579171,188,189
vel2,Stage AG,0.011173433925748287,0.004628536017999421,-1.4140319708644609,188,189
vel3,Stage AG,0.027468912748184703,0.03943614645973323,0.303458496477789,188,189
Bcc1,Stage AD,1.7573915615913471,0.09620959888107598,-17.266280932775185,189,190
Bcc2,Stage AD,0.2607777918641153,0.0682939720111605,-2.8184598755143337,189,190
Bcc3,Stage AD,1.1351982890700543,0.8299454485240187,-0.3677986801287958,189,190
rho,Stage AD,2.341003433404072,0.5235874109224623,-3.4710842632363246,189,190
press,Stage AD,481.97572524021416,0.5936552129565656,-810.8781991988969,189,190
vel1,Stage AD,0.14374408281174395,0.060220689069904125,-1.3869551317303248,189,190
vel2,Stage AD,0.0036258028604608276,0.00447771696664353,0.19025635441654365,189,190
vel3,Stage AD,0.05164566877469251,0.03891727366542332,-0.3270628672166709,189,190
