channel,pair_count,pearson_p,pearson_r,scope,spearman_p,spearman_r,split,x,y
Bcc2,210,1.1086637327696534e-33,0.7112687871760923,per_channel,1.7822567247749633e-12,0.46154269776120604,combined,Bcc2_plain_loss,radial_error
Bcc3,210,0.5822322451185239,-0.03817639432801564,per_channel,4.7548066020930096e-30,0.6817187302595135,combined,Bcc3_plain_loss,state_relative_l2
Bcc3,210,0.4252417976167824,-0.055311090307719815,per_channel,0.18129860986482016,-0.09260009135289753,combined,Bcc3_plain_loss,residual_relative_l2
Bcc3,210,4.118456077195647e-07,0.3409185237334506,per_channel,6.217773486501265e-18,0.5490587736035478,combined,Bcc3_plain_loss,shell_error
Bcc3,210,0.48533800180303704,-0.04840953887055211,per_channel,6.537343743992892e-31,-0.6890593567071491,combined,Bcc3_plain_loss,radial_error
vel3,210,7.190441723324137e-16,0.5188478920862049,per_channel,4.085641581336602e-62,0.8580531466537951,combined,vel3_plain_loss,state_relative_l2
vel3,210,1.153613550122872e-06,0.3282242353793198,per_channel,1.924236833526816e-08,0.3756722698603467,combined,vel3_plain_loss,residual_relative_l2
vel3,210,0.013460238294361335,0.170308428299599,per_channel,4.6800739095049104e-11,0.4340033625641009,combined,vel3_plain_loss,shell_error
vel3,210,7.421009759653968e-09,0.38569334430726476,per_channel,3.7783490642156594e-24,0.6249361015636895,combined,vel3_plain_loss,radial_error
rho,210,6.997979773666987e-72,0.8873962438940913,per_channel,6.0233907339211195e-177,0.9895559666076004,combined,rho_plain_loss,state_relative_l2
rho,210,0.0030942435841199213,0.20321496111658144,per_channel,0.006772123517759489,-0.18633205158523192,combined,rho_plain_loss,residual_relative_l2
rho,210,0.0038071703673813735,0.19887364111356015,per_channel,1.979622472583684e-07,0.3496153135963563,combined,rho_plain_loss,shell_error
rho,210,8.461890768164195e-08,0.3593875020843761,per_channel,7.354146406439565e-07,0.3338430090737399,combined,rho_plain_loss,radial_error
press,210,1.934096004292949e-79,0.905641525910337,per_channel,3.4749321540867285e-153,0.9822619884480697,combined,press_plain_loss,state_relative_l2
press,210,3.8702126220075994e-07,0.341666891885292,per_channel,6.13181270416019e-13,-0.4700249114816338,combined,press_plain_loss,residual_relative_l2
press,210,0.08671544194165696,0.11849758904864534,per_channel,8.937684219846565e-16,0.5173897691233685,combined,press_plain_loss,shell_error
press,210,0.008921736286119267,0.18005229875843498,per_channel,5.318597384380249e-05,0.27510892699218964,combined,press_plain_loss,radial_error
