candidate_gate2_severe_global,candidate_gate2_severe_shell_radial,channel,delta_shrink_ratio,finite,first_delta_norm,first_global_variance_ratio_over_input,first_radial_variance_ratio_over_input,first_shell_variance_ratio_over_input,first_std,global_variance_ratio_second_over_first,legacy_flags,model_application_count,radial_variance_ratio_second_over_first,second_delta_norm,second_std,shell_variance_ratio_second_over_first,snapshot,std_ratio_second_over_first
False,False,vel3,0.5748020036875774,True,525.0816650390625,0.8138051816467827,0.7387364835560964,1.0979105180124757,2.5549590587615967,0.8212675680711968,[],2,0.6630433340176707,301.8179931640625,2.315401315689087,0.9530031335871335,92,0.9062381284541503
False,False,Bcc1,0.3530186018996104,True,275.2125549316406,0.6536762471382014,735.6906883163373,0.9015311007895329,1.0243409872055054,0.8555004617157649,[],2,0.6414610576896134,97.1551513671875,0.9474464654922485,0.8767460961660866,94,0.9249326907019194
False,False,Bcc2,0.46350943962802743,True,934.5762329101562,0.6284972329361302,0.7892324422424882,1.416970674579817,2.5419602394104004,0.7431168666709271,[],2,0.6668165811184812,433.1849060058594,2.191277265548706,0.7763257542485157,94,0.8620423056093772
False,False,Bcc3,0.5135098933276153,True,763.6976928710938,0.8769393700803018,167.40608556083987,0.7021287989778865,4.307472229003906,0.9527336379857905,"[""Bcc3:possible_field_collapse""]",2,0.6410757645192766,392.16632080078125,4.204440593719482,0.7220551746245143,94,0.9760807197802295
False,False,rho,0.21233587084200378,True,645.1945190429688,0.776996067825756,0.7885138824088728,0.3101304654381596,1.162473201751709,0.9221226839277079,[],2,0.8451150136429395,136.99794006347656,1.1162906885147095,0.7343795436207514,94,0.9602721910772585
False,False,press,0.3457814893632512,True,356.2882995605469,0.6757726741670156,0.4552467426552529,0.7827847215001754,0.9450947642326355,0.8427173294038401,"[""press:possible_field_collapse""]",2,0.7556117793821475,123.1978988647461,0.86759352684021,0.8611051492151832,94,0.9179963318754049
False,False,vel1,0.2805917317026501,True,544.4999389648438,0.7311901477026361,1.7595169952302732,0.3228424051214611,1.0362374782562256,0.8826241145381111,"[""vel1:possible_stripe_anisotropy""]",2,0.6463124776588531,152.7821807861328,0.9735251665115356,0.9754862097171699,94,0.9394807531472208
False,False,vel2,0.8145294108546538,True,564.1582641601562,1.1110085569085384,156.77593949069,2.007074635855348,2.2854223251342773,0.9507092091749401,"[""vel2:possible_stripe_anisotropy""]",2,0.9071554573801065,459.52349853515625,2.2283854484558105,1.4280189220443853,94,0.9750431786496547
False,False,vel3,0.5132560587836625,True,637.965576171875,1.010670956887052,0.8744227594723155,1.493331975165149,2.798201560974121,0.870354032448473,"[""vel3:possible_stripe_anisotropy""]",2,0.8486032320085383,327.439697265625,2.6105196475982666,0.805181472287579,94,0.932927664685271
False,False,Bcc1,0.40142011796395893,True,299.98114013671875,0.6849837197757995,4456.7417204881185,1.0492187538341904,1.073523759841919,0.8377212753936445,[],2,0.6197249937937376,120.41846466064453,0.9825652837753296,0.7565356982963723,96,0.9152711104596479
False,False,Bcc2,0.4339591033160802,True,1058.032470703125,0.5669088060825753,0.8398106739412693,1.7165923833105443,2.4489786624908447,0.7534160763277051,[],2,0.6674542305969473,459.142822265625,2.125702142715454,0.7774396717616453,96,0.8679953709982154
False,False,Bcc3,0.5771941618371946,True,813.7752075195312,0.8607389751194947,164.800184608784,0.6114747477496013,4.404354572296143,0.9430014816647309,"[""Bcc3:possible_field_collapse""]",2,0.6761266504281638,469.706298828125,4.276992321014404,0.6615438236887367,96,0.971082652590493
