channel,correlation,delta_cosine,delta_norm,delta_over_state_norm,delta_sign_agreement,ground_truth_available,mean_shift,model_oracle_delta_norm_ratio,oracle_delta_norm,output_mean,output_std,persistence_distance,radial_transport_error,radial_transport_sign_agreement,radial_transport_skill,shell_transport_error,shell_transport_sign_agreement,shell_transport_skill,snapshot,state_mean,state_std
vel2,0.7311148248456033,-0.0017416197691363408,858.206298828125,0.711812557799626,0.4556083679199219,True,0.1961061656475067,1.8237862309629527,470.56298828125,0.21743711829185486,2.157740354537964,858.206298828125,66.57292938596024,0.53125,-65.57292938596024,2.338087984000918,0.625,-1.3380879840009179,96,0.021330952644348145,2.3547146320343018
vel3,0.897383346927511,-0.32944005169963936,764.5208740234375,0.335705551686698,0.28589630126953125,True,-0.7880306243896484,6.080998230752263,125.7229232788086,2.662712574005127,2.7924959659576416,764.5208740234375,7.845132492390767,0.015625,-6.845132492390767,11.95670321539956,0.125,-10.95670321539956,96,3.4507431983947754,2.806549072265625
Bcc1,0.8783060273880273,-0.10992592221007344,329.0953063964844,0.4818562739826804,0.3715362548828125,True,0.04572504758834839,10.162957699324256,32.38184356689453,0.043591439723968506,1.1058075428009033,329.0953063964844,116.08771718259061,0.390625,-115.08771718259061,70.1522545826703,0.5,-69.1522545826703,100,-0.002133607864379883,1.333931803703308
Bcc2,0.782394384567879,0.12258451250337579,1118.7181396484375,0.6149436061972793,0.49898529052734375,True,-0.3066045641899109,3.1514956129163485,354.9800720214844,-1.070075273513794,2.8128485679626465,1118.7181396484375,3.6374331622412703,0.484375,-2.6374331622412703,12.47542542172998,0.875,-11.47542542172998,100,-0.7634707093238831,3.47017240524292
Bcc3,0.9388679995964092,-0.2808694333269487,880.3006591796875,0.34939731892168874,0.15024566650390625,True,-0.03990471363067627,9.59339689478388,91.76110076904297,-0.026462197303771973,4.329452037811279,880.3006591796875,88.50734402739307,0.28125,-87.50734402739307,12.587806948502324,0.375,-11.587806948502324,100,0.013442516326904297,4.920846939086914
rho,0.6373788614929476,0.10219655209154652,656.3518676757812,0.7953755998414229,0.4108009338378906,True,-0.7707460522651672,9.537078707488288,68.82106018066406,0.281383216381073,1.1834238767623901,656.3518676757812,19.46043493099451,0.703125,-18.46043493099451,15.354812817456887,0.5,-14.354812817456887,100,1.0521292686462402,1.2209521532058716
press,0.7226935152574142,-0.00024718504551258575,416.4690856933594,0.6966728130924996,0.4590911865234375,True,-0.19653619825839996,5.63613765087882,73.89263916015625,0.11796320974826813,0.9505876302719116,416.4690856933594,10.619999838011308,0.234375,-9.619999838011308,14.47346428699585,0.25,-13.47346428699585,100,0.3144994080066681,1.1244181394577026
vel1,0.4427132524151747,-0.16163554408267738,974.9903564453125,0.8972874737667876,0.40450286865234375,True,-0.9400957822799683,7.266556537288529,134.17501831054688,0.1512819230556488,1.0867215394973755,974.9903564453125,11.399662176980083,0.125,-10.399662176980083,6.763512844051349,0.375,-5.763512844051349,100,1.0913777351379395,1.8201335668563843
vel2,0.6978167513084363,-0.04510927082067188,957.2025146484375,0.7350524671690002,0.45790863037109375,True,0.21974945068359375,5.511033052111849,173.6884002685547,0.24065262079238892,2.1328394412994385,957.2025146484375,68.04191215272934,0.625,-67.04191215272934,8.357795618571433,0.5,-7.3577956185714335,100,0.020903170108795166,2.5433189868927
vel3,0.8738704841928255,0.07372236572116804,839.7835083007812,0.36144850476205787,0.389251708984375,True,-0.8530933856964111,11.31434741197602,74.22288513183594,2.7494113445281982,2.8149330615997314,839.7835083007812,16.03077814502685,0.296875,-15.03077814502685,29.92346935633304,0.125,-28.92346935633304,100,3.6025047302246094,2.759369373321533
Bcc1,0.8483660367646805,,375.529052734375,0.5313906171027708,,False,0.05915349721908569,,,0.05453193187713623,1.1483978033065796,375.529052734375,,,,,,,110,-0.004621565341949463,1.3802485466003418
Bcc2,0.7772222279323616,,1151.0738525390625,0.6340231212496988,,False,-0.4276585578918457,,,-1.043764352798462,2.9228193759918213,1151.0738525390625,,,,,,,110,-0.6161057949066162,3.491978645324707
Bcc3,0.9207726410502854,,1038.5211181640625,0.39487399682116675,,False,-0.05687594413757324,,,-0.04356956481933594,4.420425891876221,1038.5211181640625,,,,,,,110,0.013306379318237305,5.136713981628418
rho,0.6301617751294699,,638.6104125976562,0.8150668673889292,,False,-0.6807295680046082,,,0.30026888847351074,1.250687837600708,638.6104125976562,,,,,,,110,0.9809984564781189,1.1744869947433472
press,0.6927969071246235,,464.2856750488281,0.7344285797455123,,False,-0.3388718366622925,,,0.12427372485399246,0.9548671245574951,464.2856750488281,,,,,,,110,0.46314555406570435,1.1445568799972534
vel1,0.4066348356713645,,1262.2386474609375,0.9120908462068115,,False,-1.4339632987976074,,,0.15321534872055054,1.0519366264343262,1262.2386474609375,,,,,,,110,1.5871787071228027,2.1878409385681152
vel2,0.6791070006667981,,1078.545654296875,0.7404048666320352,,False,0.1529897153377533,,,0.17474541068077087,2.161912202835083,1078.545654296875,,,,,,,110,0.021755695343017578,2.8450281620025635
vel3,0.8725200369840072,,836.8001708984375,0.36130666397933736,,False,-0.7301623821258545,,,2.860875129699707,2.976128101348877,836.8001708984375,,,,,,,110,3.5910375118255615,2.750748634338379
