basis,channel_in,channel_out,epsilon_consistency_tolerance,epsilon_large,epsilon_relative_gain_difference,epsilon_small,gain_large,gain_small,nonlinear_response_warning,phase_large,phase_small,state_count
radial:inner_localized,vel3,vel3,0.1,0.01,2.0751041227165063,0.001,0.4565830502857596,1.4040404202962171,True,0.8718677466434299,0.30453935863711995,9
radial:linear_log_r,Bcc1,Bcc1,0.1,0.01,6.823443064254707,0.001,0.08020029217004776,0.6274424195289612,True,-0.024840722572472645,0.0002316073920063334,9
radial:linear_log_r,Bcc2,Bcc2,0.1,0.01,1.4210419990578935,0.001,0.6172369718551636,1.494356632232666,True,0.780699443764252,0.30554759257593195,9
radial:linear_log_r,Bcc3,Bcc3,0.1,0.01,4.357022438421256,0.001,0.26822516322135925,1.4368882179260254,True,0.11197511536159176,0.003293679769595874,9
radial:linear_log_r,press,press,0.1,0.01,6.459615571494298,0.001,0.09300092607736588,0.6937511563301086,True,0.3236609870576334,0.0447695334356606,9
radial:linear_log_r,rho,rho,0.1,0.01,6.5967733086623195,0.001,0.1190996989607811,0.9047734141349792,True,0.15320517464197134,0.018721464487729086,9
radial:linear_log_r,vel1,vel1,0.1,0.01,6.142301346484143,0.001,0.1163344532251358,0.830895721912384,True,0.2731936483790983,0.04126644053612257,9
radial:linear_log_r,vel2,vel2,0.1,0.01,4.621054391688689,0.001,0.27519088983535767,1.5468629598617554,True,0.3579732603415564,0.06550155070742755,9
radial:linear_log_r,vel3,vel3,0.1,0.01,2.0982802171915305,0.001,0.40888404846191406,1.2668373584747314,True,0.8068493094421245,0.13967840636153986,9
radial:mid_frequency,Bcc1,Bcc1,0.1,0.01,7.075099834384676,0.001,0.07799892127513885,0.6298490762710571,True,0.13788748981966314,0.01671739486896424,9
radial:mid_frequency,Bcc2,Bcc2,0.1,0.01,3.408448095021948,0.001,0.31016361713409424,1.3673402070999146,True,0.5422967265726125,0.12858310350445573,9
radial:mid_frequency,Bcc3,Bcc3,0.1,0.01,4.600538116591928,0.001,0.267830491065979,1.4999948740005493,True,0.1577819816890908,0.01964984448835997,9
radial:mid_frequency,press,press,0.1,0.01,7.310946893410935,0.001,0.08374521881341934,0.6960020661354065,True,0.11636664210967021,0.014158722444106594,9
radial:mid_frequency,rho,rho,0.1,0.01,6.984277651395944,0.001,0.11333047598600388,0.9048619866371155,True,0.03363248195925619,0.006562078334263044,9
radial:mid_frequency,vel1,vel1,0.1,0.01,6.4922709732736825,0.001,0.11047864705324173,0.827735960483551,True,-0.11122301810050587,-0.013889240513615194,9
radial:mid_frequency,vel2,vel2,0.1,0.01,5.310186313975303,0.001,0.24403519928455353,1.5399075746536255,True,0.01787005458268934,0.002498070020548864,9
radial:mid_frequency,vel3,vel3,0.1,0.01,2.500558582188732,0.001,0.37392809987068176,1.3089572191238403,True,0.7111788187739182,0.13369502354463922,9
radial:outer_localized,Bcc1,Bcc1,0.1,0.01,7.191512200853988,0.001,0.07507216930389404,0.6149545907974243,True,-0.026283026168520914,-0.0036492281891464867,9
radial:outer_localized,Bcc2,Bcc2,0.1,0.01,2.264662186779788,0.001,0.4235495924949646,1.3827463388442993,True,0.5436656943939978,0.15651774909407704,9
radial:outer_localized,Bcc3,Bcc3,0.1,0.01,4.898495089823104,0.001,0.2522575557231903,1.4879399538040161,True,0.0808715947388824,0.010249473416755975,9
radial:outer_localized,press,press,0.1,0.01,6.777060523623974,0.001,0.0884842574596405,0.6881474256515503,True,0.14171525828904502,0.0213283578064669,9
radial:outer_localized,rho,rho,0.1,0.01,6.579147335760475,0.001,0.11772271245718002,0.8922377824783325,True,0.16053020652274907,0.021627012449247453,9
radial:outer_localized,vel1,vel1,0.1,0.01,6.456848578688957,0.001,0.10839270800352097,0.8082680106163025,True,0.18309042339761586,0.02656032093330655,9
radial:outer_localized,vel2,vel2,0.1,0.01,4.853020660714547,0.001,0.25271379947662354,1.4791390895843506,True,0.2861445971636733,0.04563894284121142,9
radial:outer_localized,vel3,vel3,0.1,0.01,3.1025388943736525,0.001,0.3096882402896881,1.270508050918579,True,0.5213883868492593,0.10341867892438183,9
