all_cross_channel,axis,band,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
True,phi,low_k,vel1,Bcc3,True,0.001,1.7274667024612427,0.004271785788014355,1.538230790032281,0.0007529362895779763,1.6075736284255981,0.0013732692608139012,1.066480278968811,-0.0027077946523293528,phi_low_k,9
True,phi,low_k,vel1,press,True,0.001,0.7411283254623413,0.007921547000846558,0.6530816919273801,0.0029248743561053345,0.6777492165565491,0.0035632186303145357,0.46340397000312805,-0.0008208621446867134,phi_low_k,9
True,phi,low_k,vel1,rho,True,0.001,0.9484566450119019,0.0035835809584076304,0.8404091000556946,0.0014403826081422029,0.8746320009231567,0.0015630821368800478,0.6017215847969055,-0.0005978069618928829,phi_low_k,9
False,phi,low_k,vel1,vel1,False,0.001,0.8872217535972595,0.00715004476743987,0.7786212431059943,0.0036264738790263477,0.8051227331161499,0.003357274719845779,0.5279644727706909,0.0014511043784405046,phi_low_k,9
True,phi,low_k,vel1,vel2,True,0.001,1.5934913158416748,-0.005845768092677627,1.4082525306277804,-0.010101110004511523,1.453394889831543,-0.009445501754840765,0.976577639579773,-0.015080790041415737,phi_low_k,9
True,phi,low_k,vel1,vel3,True,0.001,1.396342396736145,0.01281176945571538,1.2357858883010016,0.007830738820024807,1.2599821090698242,0.00855102002279001,0.8953595757484436,0.0006078905148158274,phi_low_k,9
True,phi,low_k,vel2,Bcc1,True,0.001,0.6893975734710693,-0.0015698800503409825,0.5993913014729818,-0.005813267302862877,0.6104708909988403,-0.005691303511410804,0.4089882969856262,-0.00857715752903096,phi_low_k,9
True,phi,low_k,vel2,Bcc2,True,0.001,1.3825525045394897,0.0007652127848016767,1.2326304912567139,-0.0004965724236779893,1.2827955484390259,0.00022761026353571658,0.848393440246582,-0.0031599770048003468,phi_low_k,9
True,phi,low_k,vel2,Bcc3,True,0.001,1.7994213104248047,0.0013543383366098989,1.5743952724668715,-0.002303843036162056,1.6300944089889526,-0.002814424903923942,1.0814334154129028,-0.008017606093812822,phi_low_k,9
True,phi,low_k,vel2,press,True,0.001,0.7607970833778381,0.002659697043052552,0.663175063000785,-0.0023935264041127233,0.6843068599700928,-0.002410304517887241,0.4714467227458954,-0.00915430167823172,phi_low_k,9
