all_cross_channel,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
True,rho,Bcc1,True,0.001,0.68257075548172,-0.003931075257001261,0.6101123558150398,-0.011549249956595939,0.6250075101852417,-0.011776936550558946,0.4417021870613098,-0.02051952708794361,linear_log_r,9
True,rho,Bcc2,True,0.001,1.3595662117004395,0.027370401559137135,1.258094588915507,0.012348490527039702,1.299120545387268,0.01064902047784067,0.9353779554367065,0.005212857190971708,linear_log_r,9
True,rho,Bcc3,True,0.001,1.7536160945892334,0.026903245673664148,1.5945554044511583,0.004250630511933406,1.641911268234253,0.0018176640312604286,1.170730471611023,-0.005407765350583711,linear_log_r,9
True,rho,press,True,0.001,0.7527384161949158,0.0549454231363214,0.669973181353675,0.021840893162311262,0.6958563327789307,0.017631020490656384,0.48549574613571167,0.0058336384605502155,linear_log_r,9
False,rho,rho,False,0.001,0.9695311784744263,0.04163320660591126,0.8689246310128106,0.02163560746240215,0.9047734141349792,0.018721464487729086,0.6250001788139343,0.016364710199259624,linear_log_r,9
True,rho,vel1,True,0.001,0.9027035236358643,-0.003788371364741933,0.8059257864952087,-0.00923030593167916,0.8366107940673828,-0.007372292344598966,0.5628714561462402,-0.019054409031704682,linear_log_r,9
True,rho,vel2,True,0.001,1.6117117404937744,0.03194833530566218,1.4542986551920574,0.01023064697279034,1.5106326341629028,0.006294971709651942,1.0587342977523804,0.0035948988609402076,linear_log_r,9
True,rho,vel3,True,0.001,1.421863079071045,0.03878392966232942,1.2777818772527907,0.023103943800679427,1.30888831615448,0.022847853980405335,0.9661763310432434,0.004114835725568582,linear_log_r,9
True,vel1,Bcc1,True,0.001,0.6763390898704529,0.0202192333407185,0.6057587597105238,0.00902827657140106,0.629000723361969,0.010454310166321435,0.4407755732536316,-0.005656787669308381,linear_log_r,9
True,vel1,Bcc2,True,0.001,1.3591033220291138,-0.10203028690648377,1.2684512270821466,-0.11588490048848518,1.3120269775390625,-0.1107202208101233,0.9744054079055786,-0.14160042560862163,linear_log_r,9
True,vel1,Bcc3,True,0.001,1.7187421321868896,0.025920564476224393,1.5799133512708876,0.0026003810485787896,1.635947346687317,0.001038549539071496,1.191357970237732,-0.009241253077590737,linear_log_r,9
True,vel1,press,True,0.001,0.7439231276512146,0.04304987786871101,0.6670556333329942,0.011166408438871839,0.6915416121482849,0.00862588674318932,0.5063682794570923,-0.011176926644451616,linear_log_r,9
True,vel1,rho,True,0.001,0.955193281173706,-0.008181166797143757,0.8606536785761515,-0.0163986715159379,0.8933296203613281,-0.018343079702221276,0.6601367592811584,-0.022095670247417286,linear_log_r,9
False,vel1,vel1,False,0.001,0.8881528377532959,0.06153052802968239,0.7992385228474935,0.04273667956815018,0.830895721912384,0.04126644053612257,0.5849354863166809,0.03100503996579541,linear_log_r,9
True,vel1,vel2,True,0.001,1.5795783996582031,-0.011789187655936206,1.4487753841612074,-0.019700020215742957,1.5048809051513672,-0.019509825029795203,1.0895832777023315,-0.029331909396851964,linear_log_r,9
True,vel1,vel3,True,0.001,1.3961094617843628,0.03615212134655628,1.2702056500646803,-0.0010906102013678877,1.3080952167510986,0.007242625750988015,0.978275716304779,-0.030906032640102655,linear_log_r,9
True,vel2,Bcc1,True,0.001,0.6971653699874878,-0.006655792449494238,0.6180418365531497,-0.023575137520153572,0.6385608911514282,-0.022775628086812258,0.4494529068470001,-0.05671029432947043,linear_log_r,9
True,vel2,Bcc2,True,0.001,1.4553327560424805,0.22418704209670626,1.3375114268726773,0.2024225794499617,1.37904953956604,0.2046455395088241,0.9950031638145447,0.18456203422978684,linear_log_r,9
True,vel2,Bcc3,True,0.001,1.8060673475265503,0.006630143120546043,1.6238088872697618,-0.007212465856001706,1.6799429655075073,-0.005107114289067841,1.175744891166687,-0.020223415356385253,linear_log_r,9
True,vel2,press,True,0.001,0.7709366083145142,0.026719100837065232,0.685442308584849,0.01810934703539928,0.7135704755783081,0.018977855373734018,0.5121436715126038,0.005272381962249153,linear_log_r,9
