channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
vel2,3D CNN/U-Net,0.008688883689903263,0.0011025126615683202,-6.880983133149108,174,175
vel3,3D CNN/U-Net,0.06492000104963781,0.05039633906047189,-0.28818882998105466,174,175
Bcc1,Differential LocalNO,0.8833825961461576,0.14442263202226,-5.116649335195615,174,175
Bcc2,Differential LocalNO,0.1949854014333049,0.1408446102629985,-0.38440087319784233,174,175
Bcc3,Differential LocalNO,0.41942741920245974,0.7857318129122008,0.4661951924182465,174,175
rho,Differential LocalNO,9.809144868870984,0.4340531291467718,-21.59894978329737,174,175
press,Differential LocalNO,24.32658597150137,0.07380834378442429,-328.5912728045117,174,175
vel1,Differential LocalNO,0.08933772232495893,0.06115341583587764,-0.46087869506295087,174,175
vel2,Differential LocalNO,0.003926229646918254,0.0011025126615683202,-2.5611651310500205,174,175
vel3,Differential LocalNO,0.06532799899726235,0.05039633906047189,-0.29628461541370243,174,175
Bcc1,Index-space DISCO3D LocalNO,0.7091614136594623,0.14442263202226,-3.9103205206103606,174,175
Bcc2,Index-space DISCO3D LocalNO,0.16773188072099252,0.1408446102629985,-0.19090024394818905,174,175
Bcc3,Index-space DISCO3D LocalNO,0.6496675419054366,0.7857318129122008,0.17316884561726187,174,175
rho,Index-space DISCO3D LocalNO,3.7743494468145378,0.4340531291467718,-7.695593219737555,174,175
press,Index-space DISCO3D LocalNO,91.45619408760165,0.07380834378442429,-1238.1037299891502,174,175
vel1,Index-space DISCO3D LocalNO,0.05425765150892213,0.06115341583587764,0.1127617195654651,174,175
vel2,Index-space DISCO3D LocalNO,0.003019784886106229,0.0011025126615683202,-1.7390024544576166,174,175
vel3,Index-space DISCO3D LocalNO,0.035655368641489535,0.05039633906047189,0.29250081838869835,174,175
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.207618532586261,0.14442263202226,-14.285821215652673,174,175
