channel,model,radial_absolute_error,shell_absolute_error,source_snapshot
Bcc2,FNO,0.04031210647709007,0.0278872343917389,176
Bcc3,FNO,0.5977862500659125,11.630891195896863,176
rho,FNO,541.3742844834134,29641529.872766756,176
press,FNO,1.2629472802495973,91.49723870284647,176
vel1,FNO,0.11147411116427015,0.0239657518873882,176
vel2,FNO,0.0032175724783487765,4.1431154341929804e-05,176
vel3,FNO,0.01947630201054516,0.0022093628371574084,176
Bcc1,3D CNN/U-Net,0.47598286811595225,3.328103339126289,176
Bcc2,3D CNN/U-Net,0.35867732289620674,3.0305396645977436,176
Bcc3,3D CNN/U-Net,1.0669966049575028,15.131182992634251,176
rho,3D CNN/U-Net,8.279675840539676,1705.8608538578203,176
press,3D CNN/U-Net,3687.776545847413,4587346408.498653,176
vel1,3D CNN/U-Net,0.08223355410493575,0.11432459928955258,176
vel2,3D CNN/U-Net,0.007888929951066229,4.9037549299303246e-05,176
vel3,3D CNN/U-Net,0.03424737549166681,0.005976909306288807,176
Bcc1,Differential LocalNO,0.8633010273365054,3.420313828717664,176
Bcc2,Differential LocalNO,0.1343499466688276,0.6964581392301941,176
Bcc3,Differential LocalNO,0.49895408230284266,2.253191759673175,176
rho,Differential LocalNO,10.479968838509087,29247.328356915325,176
press,Differential LocalNO,11.512496966607742,4698.234246945681,176
vel1,Differential LocalNO,0.07245475279438665,0.06665327309765534,176
vel2,Differential LocalNO,0.0024338957119269164,3.8027376944031835e-05,176
vel3,Differential LocalNO,0.021606877400984867,0.0037747500914866966,176
Bcc1,Index-space DISCO3D LocalNO,0.8990930266530079,3.0989649573843776,176
Bcc2,Index-space DISCO3D LocalNO,0.1368034315201388,0.417929621599157,176
Bcc3,Index-space DISCO3D LocalNO,0.4607333861947058,34.86998864841526,176
rho,Index-space DISCO3D LocalNO,3.951951891515044,57.48375671287071,176
press,Index-space DISCO3D LocalNO,6.070259896797119,6391.093646961722,176
vel1,Index-space DISCO3D LocalNO,0.054094122191104106,0.04531150086861079,176
vel2,Index-space DISCO3D LocalNO,0.0022902747493287567,3.184896480836925e-05,176
vel3,Index-space DISCO3D LocalNO,0.019141975735044097,0.002683269847639539,176
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.2471762029319557,3.2168440122263795,176
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.0918073609987372,0.38643388043553284,176
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.6299199344555818,7.750045848232743,176
rho,Anisotropic spherical DISCO3D LocalNO,6.295075703368725,108.15670055361122,176
press,Anisotropic spherical DISCO3D LocalNO,2.5636320168984854,2334.121812845954,176
vel1,Anisotropic spherical DISCO3D LocalNO,0.0632584877886463,0.05147332975247925,176
vel2,Anisotropic spherical DISCO3D LocalNO,0.0044703976437903085,6.707345509809822e-05,176
vel3,Anisotropic spherical DISCO3D LocalNO,0.007609754376247361,0.0033897521648282164,176
Bcc1,Persistence,0.003317806964639438,0.11221599389399212,177
Bcc2,Persistence,0.055417180021235704,0.018154424030179143,177
Bcc3,Persistence,0.6089503947744437,9.702873143639842,177
rho,Persistence,1.2579252710020212,49.447988612223156,177
press,Persistence,0.05754161375958819,0.9415954627311393,177
vel1,Persistence,0.04869725272554028,0.008986899771847433,177
vel2,Persistence,0.0007324522318697735,2.294869562002471e-05,177
vel3,Persistence,0.019779457593192218,0.0021010923457570854,177
Bcc1,FNO,0.9067208184904437,3.805488052028641,177
Bcc2,FNO,0.048395910590383104,0.039343880192616164,177
Bcc3,FNO,1.2461713119808544,5.961853452055449,177
