clipping_fraction,cumulative_runtime_seconds,differential_gradient_norm_mean,disco_gradient_norm_mean,disco_gradient_norm_min,disco_weight_norm,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,spectral_gradient_norm_mean,train_loss_max,train_loss_mean,train_loss_min
1.0,3432.0543800069972,43.00426503164427,88.16624326932998,0.8881477117538452,16.478452682495117,116,29.482457455000258,648.0830078125,906.0,0.9999999091738746,1927.4649658203125,159.47473321642195,0.000996729656009272,0.0009968833725151741,19488,168,0,4872,42,26.626099518367223,507.8404541015625,17.090559253513458,0.05909009277820587
1.0,3461.4954019589977,49.02598861143703,82.59915531533105,1.998128056526184,16.466856002807617,117,29.441021952000483,648.0830078125,906.0,0.9999999233654567,2109.2783203125,154.74190391813005,0.0009965683666992868,0.000996725860753663,19656,168,0,4914,42,25.77520900822821,535.053955078125,17.08917895083626,0.06307981163263321
1.0,3490.9990910709976,45.9807455553895,80.70162789026897,1.076354742050171,16.45152473449707,118,29.503689111999847,648.0830078125,906.0,0.9999999205271403,2510.49853515625,152.16170322327386,0.0009964032089485283,0.0009965644793232084,19824,168,0,4956,42,24.66389386426835,616.6022338867188,17.007461904148972,0.06493154168128967
1.0,3520.5253288429976,47.05369193497158,69.9486563205719,1.5696778297424316,16.43890380859375,119,29.52623777200006,648.0830078125,906.0,0.9999999361378806,1508.1920166015625,124.52980471225013,0.0009962341840449298,0.0009963992294822952,19992,168,0,4998,42,20.046095188174927,454.083251953125,15.932216418729652,0.06471023708581924
1.0,3550.022716321998,49.00313188064666,73.66501581385022,1.240705132484436,16.42996597290039,120,29.49738747900028,648.0830078125,906.0,0.9999999290420896,2524.63720703125,140.48174695741562,0.0009960612933065818,0.0009962301125195747,20160,168,0,5040,42,22.424971982127143,582.5344848632812,17.531896269215004,0.06812304258346558
1.0,3579.5070507459977,42.30142040337835,79.98650075424285,1.3844126462936401,16.41859245300293,121,29.484334423999826,648.0830078125,906.0,0.9999999105930328,2725.79345703125,145.8345915476481,0.0009958845380817205,0.000996057129753855,20328,168,0,5082,42,24.789965342907678,571.9718017578125,15.981517004869168,0.0702742487192154
1.0,3608.9793364949974,54.68593034290132,90.07701855897903,1.356160044670105,16.40477180480957,122,29.47228574899964,648.0830078125,906.0,0.9999999191079821,1553.3057861328125,168.02284571102686,0.0009957039197487192,0.0009958802825340907,20496,168,0,5124,42,26.84765712845893,435.9307556152344,17.440184976905584,0.0720851719379425
1.0,3638.527672997998,46.891625319208416,87.5841232311158,1.891561508178711,16.397192001342773,123,29.548336503000428,648.0830078125,906.0,0.9999999361378806,2967.294677734375,162.89423827897934,0.0009955194397160757,0.0009956995722393718,20664,168,0,5166,42,26.23816391825676,684.3802490234375,16.851393423575377,0.06890197098255157
1.0,3668.0039953479973,46.44363990497021,67.92586685646148,1.0502198934555054,16.385028839111328,124,29.476322349999464,648.0830078125,906.0,0.9999999120121911,1186.02099609375,132.57653861102602,0.000995331099422402,0.0009955150002789134,20832,168,0,5208,42,19.393074484098527,431.6146240234375,16.14046853519089,0.0645422488451004
1.0,3697.9783767969975,40.191242594094504,71.44073117488907,0.7263407111167908,16.37247657775879,125,29.974381449000248,648.0830078125,906.0,0.9999998978206089,2527.223876953125,127.40762317464466,0.0009951389003364144,0.0009953265680920447,21000,168,0,5250,42,22.434029518848373,492.750244140625,15.265155358106963,0.06166195124387741
