channel,epoch,model_normalized_relative_l2,optimizer_updates,persistence_normalized_relative_l2,residual_cosine,residual_relative_l2,stratum,variant
vel3,150,43.484399495438595,,0.12189946783276068,0.010636944224621152,356.7234516087376,early,spherical_proxy_fd
Bcc1,150,74.80424727249952,,0.3288084753556263,0.0021857502996774905,227.5009703792928,middle,spherical_proxy_fd
Bcc2,150,96.28611364057406,,0.5865376698838368,0.004311748613536569,164.16015180332442,middle,spherical_proxy_fd
Bcc3,150,64.50946589251292,,0.3148480173478991,0.0016121579703291377,204.8908125135223,middle,spherical_proxy_fd
rho,150,84.74833668368414,,0.14518316783081658,3.712683579062865e-05,583.7338883770625,middle,spherical_proxy_fd
press,150,73.56826933831589,,0.14011055201229025,-0.0020653428929755108,525.0730102551416,middle,spherical_proxy_fd
vel1,150,56.66719513976652,,0.08163292422444476,0.0016403340054202457,694.1708285180976,middle,spherical_proxy_fd
vel2,150,822.3560219206915,,0.7639180383780854,0.0005991971020265826,1076.4977147955537,middle,spherical_proxy_fd
vel3,150,111.03590250915752,,0.14083191587384428,0.022035923173329246,788.4285445811562,middle,spherical_proxy_fd
Bcc1,150,161.89510491666462,,0.35219681138038617,0.0009675535961496862,459.6722635619166,late,spherical_proxy_fd
Bcc2,150,177.3631569708167,,0.6209637953125721,0.0023830439442789424,285.6255989189894,late,spherical_proxy_fd
Bcc3,150,115.54191991862788,,0.3311387993674422,-0.006064383374658904,348.92293116473223,late,spherical_proxy_fd
rho,150,177.12107664650253,,0.17915811053359348,0.0002450978088199638,988.6299535459085,late,spherical_proxy_fd
press,150,179.91803382313665,,0.16601350087591196,-0.0014582724862545438,1083.7554267767814,late,spherical_proxy_fd
vel1,150,136.40303311559398,,0.13324031644956305,-0.000790471746842876,1023.7369200227898,late,spherical_proxy_fd
vel2,150,1712.1271561859182,,0.793967478635199,0.0014263037684669859,2156.41975200872,late,spherical_proxy_fd
vel3,150,212.78998482139176,,0.160779238683388,0.02554591570206365,1323.4916878661668,late,spherical_proxy_fd
