absolute_error,channel,delta_model,delta_persistence,delta_true,error_l2,ground_truth_available,input,metric_source,model,model_state_metric,persistence_error_l2,persistence_relative_skill,persistence_relative_skill_undefined,reference_domain,relative_error,relative_error_undefined,signed_transport_agreement,source_snapshot,step,target,target_snapshot,transport_cosine,transport_cosine_undefined
[0.05232143709029622],press,[-0.002364240723606834],[0.0],[0.04995719636668939],0.05232143709029622,True,[0.002365403967551317],stage_l_saved_selected_step_metrics,fno_plain,[1.1632439444833514e-06],0.04995719636668939,-0.04732532839219261,False,canonical_oracle,1.0473253283921926,False,0.0,93,3,[0.05232260033424071],94,-1.0,False
[0.05232071330732287],press,[-0.0023635169406334834],[0.0],[0.04995719636668939],0.05232071330732287,True,[0.002365403967551317],stage_l_saved_selected_step_metrics,fno_full,[1.8870269178338186e-06],0.04995719636668939,-0.047310840329891635,False,canonical_oracle,1.0473108403298916,False,0.0,93,3,[0.05232260033424071],94,-1.0,False
[0.05232133806917755],press,[-0.0023641417024881594],[0.0],[0.04995719636668939],0.05232133806917755,True,[0.002365403967551317],frozen_rollout_saved_statistics,localno_plain,[1.262265063157889e-06],0.04995719636668939,-0.04732334627298118,False,canonical_oracle,1.0473233462729812,False,0.0,93,3,[0.05232260033424071],94,-1.0,False
[0.0066252984353975045],vel1,[0.0],[0.0],[-0.0066252984353975045],0.0066252984353975045,True,[0.06046683304234678],computed_canonical_persistence,persistence,[0.06046683304234678],0.0066252984353975045,0.0,False,canonical_oracle,1.0,False,0.0,93,3,[0.05384153460694928],94,,True
[0.016166622676518867],vel1,[-0.02279192111191637],[0.0],[-0.0066252984353975045],0.016166622676518867,True,[0.06046683304234678],stage_l_saved_selected_step_metrics,fno_plain,[0.03767491193043041],0.0066252984353975045,-1.4401350119028868,False,canonical_oracle,2.440135011902887,False,1.0,93,3,[0.05384153460694928],94,1.0,False
[0.029385309070041672],vel1,[-0.03601060750543918],[0.0],[-0.0066252984353975045],0.029385309070041672,True,[0.06046683304234678],stage_l_saved_selected_step_metrics,fno_full,[0.024456225536907603],0.0066252984353975045,-3.4353185530545254,False,canonical_oracle,4.435318553054525,False,1.0,93,3,[0.05384153460694928],94,1.0,False
[0.017758589138166497],vel1,[-0.024383887573564002],[0.0],[-0.0066252984353975045],0.017758589138166497,True,[0.06046683304234678],frozen_rollout_saved_statistics,localno_plain,[0.03608294546878278],0.0066252984353975045,-1.6804210121745284,False,canonical_oracle,2.6804210121745284,False,1.0,93,3,[0.05384153460694928],94,1.0,False
[3.107470683988863e-05],vel2,[0.0],[0.0],[-3.107470683988863e-05],3.107470683988863e-05,True,[0.0001223024481896433],computed_canonical_persistence,persistence,[0.0001223024481896433],3.107470683988863e-05,0.0,False,canonical_oracle,1.0,False,0.0,93,3,[9.122774134975467e-05],94,,True
[3.241389310830476e-05],vel2,[-6.348859994819339e-05],[0.0],[-3.107470683988863e-05],3.241389310830476e-05,True,[0.0001223024481896433],stage_l_saved_selected_step_metrics,fno_plain,[5.881384824144991e-05],3.107470683988863e-05,-0.04309570079989,False,canonical_oracle,1.04309570079989,False,1.0,93,3,[9.122774134975467e-05],94,1.0,False
[9.177319083150537e-06],vel2,[-4.025202592303917e-05],[0.0],[-3.107470683988863e-05],9.177319083150537e-06,True,[0.0001223024481896433],stage_l_saved_selected_step_metrics,fno_full,[8.205042226660413e-05],3.107470683988863e-05,0.7046691661344913,False,canonical_oracle,0.29533083386550874,False,1.0,93,3,[9.122774134975467e-05],94,1.0,False
