channel,dynamic_span_ratio,global_std_ratio,global_variance_ratio,high_k_ratio,model,radial_profile_variance_ratio,reference_domain,severe_categories,shell_radial_variance_ratio,shell_std_ratio,step,total_variation_ratio
rho,0.06291055372987633,0.034456642509135105,0.0011872602130023366,7.210998873435114e-06,fno_plain,0.006774831531538917,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.0002565379665942753,"[0.00011193352506903116,0.00023225123796465218,0.0014532130748303126,0.010895581144432462,0.01985855595741137,0.11522279821228325,0.7150599147043899,1.4285240049944006]",3,0.03998298031206491
rho,0.04491085841553651,0.026046025003400856,0.0006783954184777826,8.936340924330222e-06,fno_plain,0.003524962763797519,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.00018737157331356392,"[7.851356371322535e-05,0.00023896807586880442,0.0011056464974659877,0.01019715418245995,0.016454822794739157,0.11593435886413571,0.5643618453697299,1.2244626528256057]",5,0.031799659229789
rho,0.04967644602179174,0.022905083182831888,0.0005246428356124482,3.6972154311852263e-06,fno_plain,0.003858967629950067,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.00010373919650451519,"[7.797091366210443e-05,0.0002454477917297778,0.00127587346470604,0.009813593767324238,0.010543802463009505,0.13443569672061084,0.4249071647881938,0.9393779190093118]",10,0.0272849549330409
rho,0.02262418736363483,0.010841667677564771,0.00011754175803075267,1.8402825217834434e-06,fno_plain,0.0008219151995316008,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",5.778963625986589e-05,"[0.00012953001791957364,0.0003069251803713609,0.0011581169966441028,0.00838959552863966,0.0067226452669735025,0.07971655512363647,0.22758747446957717,0.4534066012215601]",19,0.013771145457039282
press,0.10773558664084433,0.11042950745273654,0.012194676116253994,0.016943033515143747,fno_plain,0.029018740195898687,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.029018740195898687,"[0.15695073208752414,0.03751182952316127,0.043841401451498174,0.4237385441624469,0.532393664741026,0.17763722159390277,0.5135662682629865,0.625461875187971]",1,0.16565228252401162
press,0.014854999698580285,0.00471509818231685,2.223215086888766e-05,8.157124124546731e-06,fno_plain,0.00011600613298899414,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",0.00011600613298899414,"[0.0030962301492117716,0.0082449657242798,0.05333731975266612,0.31445331966378687,0.3964451313165459,0.1386504145233103,0.42318973716824926,0.581253795459231]",3,0.011920882822430432
press,0.005535689490718672,0.0020923453035979474,4.377908869488387e-06,1.9234256357455465e-06,fno_plain,2.145953991211466e-05,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",2.145953991211466e-05,"[0.0012309164934488396,0.0055178600349860265,0.05375441477144261,0.3202175713024622,0.35414433192557987,0.14495636332073805,0.3767749259305308,0.5221346077495927]",5,0.005945370539843245
press,0.010445047039194418,0.0015745734995594775,2.47928170551498e-06,5.368064602666184e-07,fno_plain,1.0240857245674445e-05,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",1.0240857245674445e-05,"[0.0006715855192129456,0.005621587841019925,0.06782110543948441,0.3598227534410043,0.22262487232934017,0.15518263954506026,0.3160229626605706,0.3888832186166927]",10,0.004227222355935273
press,0.0064089831324673175,0.0010785605877262623,1.1632929413964202e-06,2.2853616248051865e-07,fno_plain,5.040787187361711e-06,target_canonical_oracle,"{""dynamic_span"":true,""global_variance"":true,""high_k_energy"":true,""shell_radial_variance"":true}",5.040787187361711e-06,"[0.00031988441220026057,0.00583559423397167,0.055359254967302776,0.2650539641506722,0.13091427108158005,0.11428462759292234,0.23578246692628327,0.248819918495654]",19,0.00276803551661675
vel1,0.8122371772711773,0.7980184773172828,0.6368334901397947,0.5230960197599244,fno_plain,1.0066794145414357,target_canonical_oracle,"{""dynamic_span"":false,""global_variance"":false,""high_k_energy"":false,""shell_radial_variance"":true}",0.4192053500132722,"[0.6131965043866474,0.5755241150587745,0.6800005492898815,0.4620652729307295,0.6056203921377699,0.7040442679211153,0.8113026483116232,0.8696357530668951]",1,0.7754430649607819
