split,batch,source_index,target_index,case,component,batch_size,epoch,finite,gradient_nonzero,gradient_norm,roi_ramp,weighted_value
train,2,13,14,isolated_press,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_press,total,1,374,True,True,0.1009989082813263,0.9973333477973938,6.587000846862793
train,2,13,14,isolated_vel1,base,1,374,True,True,0.0022552809678018093,0.9973333477973938,0.33333587646484375
train,2,13,14,isolated_vel1,h1,1,374,True,True,0.10001488775014877,0.9973333477973938,6.201562404632568
train,2,13,14,isolated_vel1,roi,1,374,True,True,0.007136569824069738,0.9973333477973938,0.9434142708778381
train,2,13,14,isolated_vel1,bounds,1,374,True,True,1.078901519235842e-07,0.9973333477973938,1.5257127117251912e-08
train,2,13,14,isolated_vel1,envelope,1,374,True,True,0.00018408299365546554,0.9973333477973938,0.04441560432314873
train,2,13,14,isolated_vel1,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_vel1,total,1,374,True,True,0.10261441767215729,0.9973333477973938,7.522727966308594
train,2,13,14,isolated_vel3,base,1,374,True,True,0.0022552809678018093,0.9973333477973938,0.33333587646484375
train,2,13,14,isolated_vel3,h1,1,374,True,True,0.10001488775014877,0.9973333477973938,6.201562404632568
train,2,13,14,isolated_vel3,roi,1,374,True,True,0.007136569824069738,0.9973333477973938,0.9434142708778381
train,2,13,14,isolated_vel3,bounds,1,374,True,True,1.078901519235842e-07,0.9973333477973938,1.5257127117251912e-08
train,2,13,14,isolated_vel3,envelope,1,374,True,True,0.00018408299365546554,0.9973333477973938,0.04441560432314873
train,2,13,14,isolated_vel3,dissipation,1,374,True,False,0.0,0.9973333477973938,0.0
train,2,13,14,isolated_vel3,total,1,374,True,True,0.10261443257331848,0.9973333477973938,7.522727966308594
train,3,14,15,normalized_target,base,1,375,True,False,0.0,1.0,0.0
train,3,14,15,normalized_target,h1,1,375,True,False,0.0,1.0,0.0
train,3,14,15,normalized_target,roi,1,375,True,False,0.0,1.0,0.0
train,3,14,15,normalized_target,bounds,1,375,True,True,1.0754354917708042e-07,1.0,1.515926939532619e-08
train,3,14,15,normalized_target,envelope,1,375,True,True,0.0001796166761778295,1.0,0.04228608310222626
train,3,14,15,normalized_target,dissipation,1,375,True,True,0.0004999922821298242,1.0,0.023393921554088593
train,3,14,15,normalized_target,total,1,375,True,True,0.0005492719355970621,1.0,0.06568001955747604
train,3,14,15,persistence_normalized_input,base,1,375,True,True,0.007398402318358421,1.0,3.481753349304199
train,3,14,15,persistence_normalized_input,h1,1,375,True,True,0.5611838698387146,1.0,150.27145385742188
train,3,14,15,persistence_normalized_input,roi,1,375,True,True,0.0070729441940784454,1.0,2.0326178073883057
train,3,14,15,persistence_normalized_input,bounds,1,375,True,True,1.078901519235842e-07,1.0,1.5257127117251912e-08
train,3,14,15,persistence_normalized_input,envelope,1,375,True,True,0.00018408299365546554,1.0,0.04441560432314873
train,3,14,15,persistence_normalized_input,dissipation,1,375,True,False,0.0,1.0,0.0
train,3,14,15,persistence_normalized_input,total,1,375,True,True,0.5678471922874451,1.0,155.8302459716797
train,3,14,15,zero_tensor,base,1,375,True,True,0.022276464849710464,1.0,30.025188446044922
train,3,14,15,zero_tensor,h1,1,375,True,True,0.9857684373855591,1.0,591.6982421875
train,3,14,15,zero_tensor,roi,1,375,True,True,0.0070730638690292835,1.0,8.0
train,3,14,15,zero_tensor,bounds,1,375,True,False,0.0,1.0,0.0
train,3,14,15,zero_tensor,envelope,1,375,True,True,0.00013139451039023697,1.0,0.022633323445916176
train,3,14,15,zero_tensor,dissipation,1,375,True,False,0.0,1.0,0.0
