alpha,channel,decoder_derivative_finite,decoder_derivative_maximum,decoder_derivative_median,derivative_over_train_q999,evaluation_clamp_occupancy,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_0_passed,gate_1_floor_reference,gate_2_failed,gate_3_passed,global_variance_retention,high_k_retention,inverse_clamp_occupancy,inverse_clamp_policy,legacy_flags,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_relative_l2,normalized_state_norm,physical_finite,physical_maximum,physical_minimum,physical_relative_l2_to_p3_oracle,physical_relative_l2_to_raw,radial_transport_skill,residual_cosine,residual_norm,residual_over_true_residual,residual_sign_agreement,rho_press_positive,rout_failure,shell_radial_variance_retention,shell_transport_skill,source_index,split,stage_p_primary_driver,target_index,true_residual_norm
0.5,vel3,True,0.006249537981890898,0.006249537981890898,1.0,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,0.983790452036285,0.9859304424323055,0.0,no_softclip,,0.0,0.0,0.0,0.06951391357780234,15019.1162109375,True,0.6450662016868591,-0.0028231684118509293,0.06856282729716147,0.06856282870785513,-0.11516311626092324,0.12353797102524879,383.89957597248315,0.5856165961055521,0.6264190673828125,True,True,0.982134894678988,-2.0311363995454754,11,train,True,12,655.5476373543361
1.0,Bcc1,True,35114.66988326911,0.009703575614980593,18445.492936604685,0.0,0.008544921875,0.013671875,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,Bcc1:possible_high_frequency_ripple,1.8449232578277588,2.0677144527435303,0.6500352328471568,0.7017142055560971,14846.6796875,True,4.656163692474365,-6008.06201171875,3858.268755021152,3858.26963496149,,0.07771026793015404,211.0781757661916,4.777258863171188,0.5828971862792969,True,True,,,11,train,False,12,44.18395188785646
1.0,Bcc2,True,0.0026725294776098144,0.00033942956175858326,0.13723641887025081,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,True,False,0.45502914149644574,0.4241139223538404,0.0,no_softclip,,0.0,0.0,0.0,0.8389029287695248,14846.6796875,True,0.00906494352966547,-0.0046840510331094265,0.6591986167154065,0.6591986280367376,-0.2572854182557307,0.5020291062509691,1145.410565078457,3.5045567517343192,0.4872322082519531,True,True,0.5277872704418163,0.5383504300602753,11,train,True,12,326.8346459253717
1.0,Bcc3,True,0.003376023994233802,0.00027580445639651736,0.1371449100502679,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,False,False,0.6391941670268733,0.5856208738587932,0.0,no_softclip,,0.0,0.0,0.0,0.13772391988395338,14846.6796875,True,0.10392662137746811,-0.11418483406305313,0.23969700464105373,0.2396970071231018,-151.5035566283135,0.2964422400491437,1175.862727872825,0.7983851702740854,0.57171630859375,True,True,4.4057048949580055,-5.906220635766796,11,train,True,12,1472.801314018836
1.0,rho,True,3.748368490936906,0.0018541917628538786,1.0079686886737778,0.0,0.0,0.00012969970703125,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.0023351953029635553,0.0005198913461244662,0.6850882367176508,14846.6796875,True,1.1604106426239014,1.0612573532853276e-05,0.9573906972355423,0.9573906792774725,,0.0925870129089673,363.9772822987995,9.263632765935375,0.5627021789550781,True,True,,,11,train,False,12,39.29098783332952
1.0,press,True,534.6893329110031,0.00017208290605425714,9598.56531149056,0.0048828125,0.00091552734375,0.0048828125,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,press:possible_high_frequency_ripple,1.5657804012298584,2.2362653017044067,0.4847031902532226,0.685833581406535,14846.6796875,True,0.01892666704952717,2.6527262164677268e-08,0.9050231585093799,0.9050228306058684,,0.16919795745850338,353.59984722341574,5.3442404459102475,0.6069068908691406,True,True,,,11,train,False,12,66.16465909463577
1.0,vel1,True,0.3294968939753837,0.18424708669424955,0.8614134916540116,0.0,0.0,0.000244140625,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.19447672367095947,0.03352168693900458,0.8405010103635527,14846.6796875,True,1.0945073366165161,-0.10444478690624237,0.5438124281994786,0.5438124187095245,,0.3189829978926153,375.8177239751782,1.8767379729744622,0.617889404296875,True,True,,,11,train,False,12,200.2505034730771
1.0,vel2,True,0.08062791489895756,0.0022662382205377446,0.7952413929862829,0.0,0.0029296875,0.0029296875,False,frozen_stage_p_p3_floor,,,,,0.0029296875,canonical,,1.7255196571350098,1.7255291938781738,0.143794328044777,1.0435487760426003,14846.6796875,True,0.03573155030608177,-0.03573150932788849,0.949774073858658,0.934331580087525,,0.28299699725234845,1532.4062359321806,3.3271517950467975,0.6287460327148438,True,True,,,11,train,False,12,460.5759912167238
1.0,vel3,True,0.006249537981890898,0.006249537981890898,1.0,0.0,0.0,0.000732421875,False,frozen_stage_p_p3_floor,False,False,1.0047967975570347,1.0152394480906541,0.0,no_softclip,,0.0,0.20223618006706245,0.0010459111945321624,0.0916388364706759,14846.6796875,True,0.6695538759231567,-0.005907684564590454,0.09038503837433565,0.09038503475245138,-0.9969944949325058,0.12353796991488253,767.7991463550223,1.171233183683968,0.6264190673828125,True,True,1.0007954451043946,-6.4604352162748535,11,train,True,12,655.5476373543361
0.0,Bcc1,True,0.4846438435755235,0.019112276659868036,0.25458005509260434,0.0,0.0,0.0,False,frozen_stage_p_p3_floor,,,,,0.0,canonical,,0.0,0.0,0.0,0.11351188561376975,15619.57421875,True,0.12484397739171982,-0.12484374642372131,0.1272250791515687,0.1272251009295552,,0.0,0.0,0.0,0.5255279541015625,True,True,,,12,train,False,13,34.827022616373746
