alpha,application,channel,decoded_maximum,decoded_minimum,decoded_variance,fixed_point_tendency,fraction_outside_train_min_max,fraction_outside_train_q001_q999,gate_2_failed,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,normalized_state_norm,output_delta,radial_variance,rout_failure,second_over_first_delta,shell_variance,state
1.0,1,Bcc1,589.9830322265625,-246312767324160.0,9.282275446756194e+24,,0.013111114501953125,0.0234375,,3.878032922744751,4.1008241176605225,1.28919162733121,20285.44140625,0.08571462022499193,1.3742747777337801e+23,True,,"[7.413604581602855e+25, 0.06622605694290302, 0.0001600839650863582, 1.3745140598146383e-05, 1.7389878556547342e-05, 1.3917569119437797e-05, 0.00011711056423420157, 0.006755481146345581]",train_middle
1.0,1,Bcc2,0.020075129345059395,-0.008508831262588501,5.299342017258277e-06,,0.0,0.0,True,0.0,0.0,0.0,20285.44140625,0.08571462022499193,3.407438612267306e-06,True,,"[2.9828456778886328e-05, 4.753862606744007e-07, 3.161714059709205e-07, 1.8166328385118764e-07, 7.75975781953951e-08, 1.093965609086083e-08, 4.677402137797092e-09, 2.2834315886430563e-08]",train_middle
1.0,1,Bcc3,0.2178342342376709,-0.20167316496372223,0.0010905754084214836,,0.0,0.0,False,0.0,0.0,0.0,20285.44140625,0.08571462022499193,2.9577087650886654e-07,True,,"[0.00862637371677699, 9.604947328483536e-05, 1.8428853609004951e-06, 1.620223381083563e-07, 6.625682607215172e-08, 1.974633173749653e-08, 2.0746357008413658e-08, 3.240981186149557e-08]",train_middle
1.0,1,rho,1.2092770338058472,3.665635176730575e-06,0.004584384891578246,,0.001953125,0.0029296875,,0.4521515369415283,0.854426984548569,0.19022357341944204,20285.44140625,0.08571462022499193,0.0007726939500360102,True,,"[0.001838782334182217, 5.271968413454742e-05, 3.046817599379742e-07, 1.1355925932088013e-07, 6.398452010283176e-07, 0.0006949147211381333, 0.010790085859447782, 0.017843382919578293]",train_middle
1.0,1,press,0.01892666704952717,4.853810864346997e-08,5.933749587675719e-06,,0.003662109375,0.01220703125,,2.4595654010772705,3.130050301551819,0.6784281657721517,20285.44140625,0.08571462022499193,2.19976168964345e-06,True,,"[3.4553179160067586e-05, 3.5137496152247295e-07, 8.663427215567506e-09, 3.3040845617877785e-09, 6.992820245617489e-10, 9.450084346672145e-10, 7.786736729587464e-09, 7.335787862477927e-08]",train_middle
1.0,1,vel1,1.5904879570007324,-0.28507426381111145,0.027730071126933646,,0.00146484375,0.010509490966796875,,0.7679723501205444,1.0549700260162354,0.18184374085807672,20285.44140625,0.08571462022499193,0.011137804333236368,True,,"[0.06397753413477066, 0.012476123868035725, 0.005569191800718937, 0.0032630983384695804, 0.004176527502891088, 0.01752114795741057, 0.022523702976069034, 0.018337068364769376]",train_middle
1.0,1,vel2,0.03573155030608177,-0.03573150932788849,3.8291873702249075e-05,,0.00634765625,0.00634765625,,2.051215171813965,2.051224708557129,0.17093566407468172,20285.44140625,0.08571462022499193,1.026390678957187e-06,True,,"[0.00019809176874017344, 7.465476220347363e-05, 1.7894811727810628e-05, 7.832987813323271e-06, 4.249929046756992e-06, 6.847559489009838e-07, 6.100626578380282e-07, 1.9697900597864314e-06]",train_middle
1.0,1,vel3,0.8795149922370911,-0.0124905314296484,0.02494384644425013,,0.0,0.003662109375,False,0.0,1.2555694625377656,0.0064934679637714265,20285.44140625,0.08571462022499193,0.024568534238019323,True,,"[0.03464347678696713, 0.0021911063124960954, 0.000363108251354972, 0.00012590385967958193, 3.133605675053355e-05, 7.63007741792293e-06, 7.33041154755832e-06, 1.8415229244874456e-05]",train_middle
1.0,2,Bcc1,67.12232208251953,-741870.3125,110235932.83365163,True,0.01084136962890625,0.02539825439453125,,2.561964750289917,2.7847559452056885,0.8754542857029648,20339.353515625,0.044576241155183945,1691498.6532316543,True,0.520054117234329,"[880365925.2564427, 0.01849423088138285, 0.00023021479082263092, 1.8685932054709368e-05, 1.990981542660747e-05, 1.5943051300579635e-05, 8.622593286270571e-05, 0.003876260265967341]",train_middle
1.0,2,Bcc2,0.01887492835521698,-0.008753477595746517,5.195574250613984e-06,True,0.0,0.0,True,0.0,0.0,0.0,20339.353515625,0.044576241155183945,3.4086097713442946e-06,True,0.520054117234329,"[2.9352753916763938e-05, 5.117707443776696e-07, 3.2487184992762846e-07, 1.8660650555351615e-07, 7.659201100933388e-08, 1.0844384446885583e-08, 4.385676301008266e-09, 2.2452927797377572e-08]",train_middle
