channel,field_loss_inner,field_loss_middle,field_loss_outer,global_cosine,global_relative_l2,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,maximum,minimum,q001,q999,radial_profile_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_maximum,reference_minimum,reference_q001,reference_q999,reference_resolution,reference_semantics,resolution,shell_mean_relative_l2,shell_variance_relative_l2,snapshot,reproduction_scope
vel3,0.0,0.0,0.0,1.0,0.0,0.0,0.0330007933105479,0.966999206689452,0.005166538525372744,-5.506968295310481e-16,-3.4741437496461393e-16,0.004851406905800104,0.0,0.0330007933105479,0.966999206689452,0.005166538525372744,-5.506968295310481e-16,-3.4741437496461393e-16,0.004851406905800104,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc1,0.08194727530078315,0.06685556974531809,0.06739749824458069,0.9982884339893654,0.0817993242952681,0.002562968747199912,0.06276004476821455,0.9372399552317855,0.3024534583091736,-0.302453875541687,-0.26305320858955383,0.26305583119392395,1.906114138340611,0.06532301351541446,0.9346769864845855,0.3373359441757202,-0.3373304009437561,-0.2874215841293335,0.2874237298965454,128,HIGHER_RES_SAMPLING_REFERENCE,64,1.9065821148363655,0.11903807416850319,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc1,0.04789806567355827,0.039349680954526206,0.13513496341865147,0.9989652801581985,0.048861689842648756,0.0009478773495417842,0.04398929137419029,0.9560107086258097,0.3373359441757202,-0.3373304009437561,-0.27614304423332214,0.27218151092529297,1.9563228631875966,0.043041414024648506,0.9569585859753515,0.3373359441757202,-0.3373304009437561,-0.28950583934783936,0.28950750827789307,128,HIGHER_RES_SAMPLING_REFERENCE,96,1.9567367974159504,0.03666694816934791,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc1,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.03155433382766237,0.9684456661723376,0.3373359441757202,-0.3373304009437561,-0.27733010053634644,0.27733203768730164,0.0,0.03155433382766237,0.9684456661723376,0.3373359441757202,-0.3373304009437561,-0.27733010053634644,0.27733203768730164,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.24882720119532745,0.06916248051180286,0.12575067511777197,0.9858098263732723,0.24863608095297063,0.025577398556999337,0.1271573295289352,0.8728426704710648,0.04047457128763199,-0.00752871623262763,-0.005327823106199503,0.03837617486715317,0.20605703452075488,0.15273472808593452,0.8472652719140654,0.05443653091788292,-0.00793618056923151,-0.005565490573644638,0.053581539541482925,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.1855360577468629,0.3684342567073418,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.10737066924524809,0.04416361230178935,0.1181366994717544,0.9946058559006072,0.10729012561047413,0.013749344270874334,0.11994389859197375,0.8800561014080263,0.05443653091788292,-0.007936752401292324,-0.005565510131418705,0.05245572328567505,0.07913832626550786,0.10619455432109942,0.8938054456789006,0.05443653091788292,-0.007936752401292324,-0.005565188359469175,0.05245641618967056,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.03755121606563077,0.05956885903671673,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc2,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.08267550008577607,0.9173244999142239,0.05443653091788292,-0.007936752401292324,-0.005424415692687035,0.05183554068207741,0.0,0.08267550008577607,0.9173244999142239,0.05443653091788292,-0.007936752401292324,-0.005424415692687035,0.05183554068207741,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.1783052328057676,0.10851085861058768,0.187668655548085,0.9959600454613519,0.1783039251867522,0.014087019489709598,0.11460052699075383,0.8853994730092462,0.6392294764518738,-0.6392399072647095,-0.5732805728912354,0.5732651948928833,1.8221732847563885,0.12868754648046343,0.8713124535195366,0.8558008074760437,-0.8558139801025391,-0.7600930333137512,0.7601010203361511,128,HIGHER_RES_SAMPLING_REFERENCE,64,1.8351340039879782,0.29265285710021166,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.08877982561353298,0.0668062020900948,0.17573529304862967,0.9965827528669206,0.08877945609456328,0.010047123402596558,0.09781829272468352,0.9021817072753164,0.8558008074760437,-0.8558139801025391,-0.6745464205741882,0.6746436357498169,1.938983813134153,0.08777116932208696,0.912228830677913,0.8558008074760437,-0.8558139801025391,-0.6745941638946533,0.674586296081543,128,HIGHER_RES_SAMPLING_REFERENCE,96,1.9435495955633149,0.07008684488056452,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.06656906768328195,0.933430932316718,0.8558008074760437,-0.8558139801025391,-0.6392327547073364,0.6392221450805664,0.0,0.06656906768328195,0.933430932316718,0.8558008074760437,-0.8558139801025391,-0.6392327547073364,0.6392221450805664,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,25,ADAPTED_SPHERICAL_KS_WORKFLOW_REPRODUCTION
