baseline,section,metric,channel,value,numerator_squared_sum,denominator_squared_sum
persistence,squared_error_numerator_decomposition,model_raw_squared_error,vel1,31902.42666701769,,
persistence,squared_error_numerator_decomposition,model_oracle_squared_error,vel1,31867.045897491356,,
persistence,squared_error_numerator_decomposition,oracle_raw_squared_error,vel1,9.96915261328709,,
persistence,squared_error_numerator_decomposition,cross_term,vel1,25.41161691385157,,
persistence,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,vel1,31902.426667018495,,
persistence,squared_error_numerator_decomposition,reconstruction_residual,vel1,-8.039933163672686e-10,,
persistence,squared_error_numerator_decomposition,relative_reconstruction_residual,vel1,2.5201635121960068e-14,,
persistence,squared_error_numerator_decomposition,model_raw_squared_error,vel2,556.2424873975934,,
persistence,squared_error_numerator_decomposition,model_oracle_squared_error,vel2,89.19514609535833,,
persistence,squared_error_numerator_decomposition,oracle_raw_squared_error,vel2,439.98035287642455,,
persistence,squared_error_numerator_decomposition,cross_term,vel2,27.066988425813243,,
persistence,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,vel2,556.2424873975962,,
persistence,squared_error_numerator_decomposition,reconstruction_residual,vel2,-2.7284841053187847e-12,,
persistence,squared_error_numerator_decomposition,relative_reconstruction_residual,vel2,4.905206213362315e-15,,
persistence,squared_error_numerator_decomposition,model_raw_squared_error,vel3,432122.86478800396,,
persistence,squared_error_numerator_decomposition,model_oracle_squared_error,vel3,418.06366551293723,,
persistence,squared_error_numerator_decomposition,oracle_raw_squared_error,vel3,431015.72228596814,,
persistence,squared_error_numerator_decomposition,cross_term,vel3,689.0788365438739,,
persistence,squared_error_numerator_decomposition,reconstructed_model_raw_squared_error,vel3,432122.864788025,,
persistence,squared_error_numerator_decomposition,reconstruction_residual,vel3,-2.1012965589761734e-08,,
persistence,squared_error_numerator_decomposition,relative_reconstruction_residual,vel3,4.862729399905864e-14,,
persistence,clamp_masks,value_count,Bcc1,4980736,,
persistence,clamp_masks,target_clamp_count,Bcc1,0,,
persistence,clamp_masks,target_clamp_fraction,Bcc1,0.0,,
persistence,clamp_masks,target_positive_fraction,Bcc1,0.0,,
persistence,clamp_masks,target_negative_fraction,Bcc1,0.0,,
persistence,clamp_masks,model_clamp_count,Bcc1,0,,
persistence,clamp_masks,model_clamp_fraction,Bcc1,0.0,,
persistence,clamp_masks,model_positive_fraction,Bcc1,0.0,,
persistence,clamp_masks,model_negative_fraction,Bcc1,0.0,,
persistence,clamp_masks,intersection_fraction,Bcc1,0.0,,
persistence,clamp_masks,model_only_fraction,Bcc1,0.0,,
persistence,clamp_masks,target_only_fraction,Bcc1,0.0,,
persistence,clamp_masks,neither_fraction,Bcc1,1.0,,
persistence,clamp_masks,jaccard,Bcc1,,,
persistence,clamp_masks,precision,Bcc1,,,
persistence,clamp_masks,recall,Bcc1,,,
persistence,clamp_masks,same_sign_intersection_fraction,Bcc1,0.0,,
persistence,clamp_masks,opposite_sign_intersection_fraction,Bcc1,0.0,,
persistence,clamp_masks,sign_agreement_within_intersection,Bcc1,,,
