record_type,split,channel,stage,scope,index,shell,gamma_mode,paper_canonical,metric,value
snapshot_clamp,train,Bcc1,,,54,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,54,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,55,,,True,snapshot_index,55
snapshot_clamp,train,Bcc1,,,55,,,True,time,550.0003460725726
snapshot_clamp,train,Bcc1,,,55,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,55,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,55,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,55,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,56,,,True,snapshot_index,56
snapshot_clamp,train,Bcc1,,,56,,,True,time,560.0010051386096
snapshot_clamp,train,Bcc1,,,56,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,56,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,56,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,56,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,57,,,True,snapshot_index,57
snapshot_clamp,train,Bcc1,,,57,,,True,time,570.0016642046465
snapshot_clamp,train,Bcc1,,,57,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,57,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,57,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,57,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,58,,,True,snapshot_index,58
snapshot_clamp,train,Bcc1,,,58,,,True,time,580.000528142508
snapshot_clamp,train,Bcc1,,,58,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,58,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,58,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,58,,,True,hit_count,0
snapshot_clamp,train,Bcc1,,,59,,,True,snapshot_index,59
snapshot_clamp,train,Bcc1,,,59,,,True,time,590.0011872085449
snapshot_clamp,train,Bcc1,,,59,,,True,positive_fraction,0.0
snapshot_clamp,train,Bcc1,,,59,,,True,negative_fraction,0.0
snapshot_clamp,train,Bcc1,,,59,,,True,total_fraction,0.0
snapshot_clamp,train,Bcc1,,,59,,,True,hit_count,0
