channel,fraction_outside_train_min_max,fraction_outside_train_q001_q999,maximum,maximum_minmax_excess,maximum_normalized_excess,maximum_normalized_excess_over_robust_span,minimum,radial_profile_variance,relative_l2_to_physical_loop_output,shell_variance,state_norm,std,step
Bcc2,0.0207061767578125,0.0312957763671875,32.09708786010742,14.411518096923828,16.99707847309113,0.556417935121604,-26.999513626098633,10.375546042943872,,36.37881487036843;36.36661179180574;36.378746431977646;36.35193466028532;36.33594766783041;36.332235789912254;36.344637896899414;36.345294015157776,53599.609375,6.029451076888111,7
Bcc3,0.0356292724609375,0.06378936767578125,323.54937744140625,127.18121337890625,166.30214778137213,0.5290192469724456,-311.0209045410156,168.90122362273894,,5356.160794124542;5357.386908655375;5357.544930915593;5361.301698437503;5357.509053853494;5355.860687558024;5358.053347861728;5355.595153218955,53599.609375,73.19444487671124,7
rho,0.40699005126953125,0.44348907470703125,21.261838912963867,24.25915551185608,24.267618775367737,5.402770798806375,-26.247249603271484,1.8476805110994203,,14.630070840027702;14.620642327540008;14.61678925319932;14.632256474978622;14.604767191230906;14.58822139563039;14.63025160762162;14.626447494379638,53599.609375,3.8234384021482417,7
press,0.2967796325683594,0.3503379821777344,22.016733169555664,19.463104486465454,20.133589386940002,4.363889651044713,-17.00541114807129,2.569483739690945,,10.092619166360066;10.07116384707388;10.0671971071486;10.120336274316074;10.10908871634825;10.060247296678549;10.080781499865882;10.094202066429908,53599.609375,3.1759967089316627,7
vel1,0.3679161071777344,0.4427223205566406,18.015939712524414,15.378150343894958,15.66514801979065,2.7001801442369953,-17.140378952026367,1.6175517859047486,,11.17467938236902;11.183218105619869;11.18622452779488;11.187675565852361;11.166301697245835;11.155950514295306;11.191353882209965;11.182201549300377,53599.609375,3.3434191674887956,7
vel2,0.17762374877929688,0.17762374877929688,26.19453239440918,27.30184555053711,27.301855087280273,2.275158206873269,-33.30184555053711,3.6162353435439947,,26.062759335124344;26.024999205595748;26.040346124073153;26.1129950534586;26.07340374529145;26.044961610915376;26.069132206749845;26.07429059431835,53599.609375,5.105180425068741,7
vel3,0.032588958740234375,0.18516921997070312,412.0478210449219,177.1567840576172,220.13155123901402,1.1384612468168014,-14.614818572998047,2200.628253299563,,3852.0006535393813;3852.315187351988;3849.859676534278;3853.8234028459306;3850.4465634870776;3850.082993054946;3853.0103058246004;3850.860369927088,53599.609375,62.06085676515423,7
Bcc1,0.5974502563476562,0.6499824523925781,19.073287963867188,27.898009538650513,28.120800733566284,8.84044275477121,-29.711742401123047,3.855523996449317,,25.560596065794748;25.50035052104093;25.527145269413886;25.60973606868056;25.59330439556392;25.524276878875252;25.52466111972071;25.548322112695555,61434.9765625,5.054557634327672,8
Bcc2,0.030246734619140625,0.04601287841796875,34.50151443481445,18.368497848510742,20.243218916893007,0.6626838893392341,-35.69053268432617,9.355237150430384,,46.971889224214536;46.96641166540997;46.957272469007485;47.002089375465886;46.953829723717234;46.94460083928867;47.015608400914026;46.987674030955404,61434.9765625,6.853826181856493,8
Bcc3,0.0484619140625,0.08620071411132812,371.561279296875,178.9457244873047,218.2021474761963,0.6941169268443916,-375.31427001953125,262.05689485488847,,6938.010918346152;6937.733647612185;6939.001730929507;6946.779870623325;6942.769882946264;6936.020786600691;6938.934607534161;6937.573679674076,61434.9765625,83.30428227019684,8
