channel,display_name,radial_index,region,sample_count,skill_mean,skill_median,variant
aggregate_focus,W1,62,outer,126,-10488.400227142502,-304.4410490861601,mixed_basis
aggregate_focus,W1,63,outer,126,-7274.9667056809885,-1062.9181265093534,mixed_basis
press,W1,0,inner,42,-1641289072749.2302,-275.7311716674851,mixed_basis
press,W1,1,inner,42,-9672882293663.955,-2913.714030790018,mixed_basis
press,W1,2,inner,42,-8841869464.91976,-2073.1908219788857,mixed_basis
press,W1,3,inner,42,-7150104.820886252,-1794.9535502427816,mixed_basis
press,W1,4,inner,42,-113679.43383919363,-551.735091498995,mixed_basis
press,W1,5,inner,42,-3668.441837589341,-220.99398062160614,mixed_basis
press,W1,6,inner,42,-1056.0978428826847,-127.48981732338295,mixed_basis
press,W1,7,inner,42,-463.2767051518728,-98.55190174686942,mixed_basis
press,W1,8,inner,42,-117.76689119649336,-63.367622167505615,mixed_basis
press,W1,9,inner,42,-41.5643196673607,-28.11082229851739,mixed_basis
press,W1,10,inner,42,-54.82133666969615,-19.65503108324087,mixed_basis
press,W1,11,inner,42,-136.3276462255062,-15.793146098457404,mixed_basis
press,W1,12,inner,42,-32.81638930746065,-11.10496571115557,mixed_basis
press,W1,13,inner,42,-63.92501971143927,-9.017863090281622,mixed_basis
press,W1,14,inner,42,-18.02857117589697,-7.593130587788375,mixed_basis
press,W1,15,inner,42,-11.148023373305726,-5.078968589248124,mixed_basis
press,W1,16,inner,42,-8.830080347310943,-3.7795174084448178,mixed_basis
press,W1,17,inner,42,-8.740507117671545,-3.3518528131816416,mixed_basis
press,W1,18,inner,42,-8.03035796999159,-2.76999544672649,mixed_basis
press,W1,19,inner,42,-7.194447401380829,-3.1842132435083506,mixed_basis
press,W1,20,inner,42,-6.334114810782689,-2.588984440089507,mixed_basis
press,W1,21,middle,42,-7.373001802783141,-2.3044148099765667,mixed_basis
press,W1,22,middle,42,-4.23450989908117,-1.9861684035280922,mixed_basis
press,W1,23,middle,42,-22.24011468239761,-1.2758409524465901,mixed_basis
press,W1,24,middle,42,-5.840028386702277,-0.9240637389463667,mixed_basis
press,W1,25,middle,42,-4.6577780588473905,-0.03182321513785197,mixed_basis
